provider,temperature,run_index,num_proposed,num_accepted,num_rejected,best_speedup,avg_accepted_speedup,combined_speedup,total_index_storage_mb,error
anthropic,0.0,0,7,0,7,1.0,1.0,,0.0,
anthropic,0.0,1,7,1,6,1.1666112576203553,1.1666112576203553,1.194492409352924,1.1444091796875,
anthropic,0.0,2,8,0,8,1.0,1.0,,0.0,
anthropic,0.0,3,7,1,6,1.1042749283578337,1.1042749283578337,1.0568680312669143,3.0517578125,
anthropic,0.0,4,7,2,5,1.1483695481681153,1.1317723504934094,0.9301517052520302,4.1961669921875,
anthropic,0.8,0,7,5,2,1.125019956774795,1.0876164558199881,1.1795737109608866,9.2315673828125,
anthropic,0.8,1,7,3,4,1.0901575585984313,1.0723163663167894,0.9180140939559989,7.2479248046875,
anthropic,0.8,2,7,5,2,1.6591601419798923,1.5197427863772184,1.0307139774343765,8.4686279296875,
anthropic,0.8,3,8,1,7,1.1567135149729961,1.1567135149729961,0.9326698822702317,3.0517578125,
anthropic,0.8,4,7,0,7,1.0,1.0,,0.0,
